event_id,file_id,file_name,timestamp,superevent_id
3713,1856,catO5_1856.fits,2028-01-02 00:03:39.819055,GW280102a
221,110,catO5_110.fits,2028-01-03 22:51:35.742546,GW280103a
3862,1931,catO5_1931.fits,2028-01-04 08:31:39.312458,GW280104a
2823,1411,catO5_1411.fits,2028-01-05 08:44:05.585539,GW280105a
1178,589,catO5_589.fits,2028-01-05 20:46:33.688458,GW280105b
2680,1340,catO5_1340.fits,2028-01-06 09:42:07.008964,GW280106a
923,461,catO5_461.fits,2028-01-06 15:56:03.101017,GW280106b
4495,2247,catO5_2247.fits,2028-01-06 18:36:17.076245,GW280106c
3203,1601,catO5_1601.fits,2028-01-07 13:15:53.800581,GW280107a
3817,1908,catO5_1908.fits,2028-01-08 09:34:16.117615,GW280108a
4135,2067,catO5_2067.fits,2028-01-08 15:54:59.262165,GW280108b
2585,1292,catO5_1292.fits,2028-01-09 14:35:48.110237,GW280109a
3109,1554,catO5_1554.fits,2028-01-09 20:22:21.933343,GW280109b
725,362,catO5_362.fits,2028-01-10 07:56:01.679418,GW280110a
3380,1690,catO5_1690.fits,2028-01-10 13:09:49.471020,GW280110b
1220,610,catO5_610.fits,2028-01-10 17:49:30.144406,GW280110c
4487,2243,catO5_2243.fits,2028-01-10 20:48:02.145257,GW280110d
2946,1473,catO5_1473.fits,2028-01-10 21:48:03.392259,GW280110e
3055,1527,catO5_1527.fits,2028-01-10 23:24:17.299739,GW280110f
1348,674,catO5_674.fits,2028-01-11 02:31:31.737785,GW280111a
2139,1069,catO5_1069.fits,2028-01-11 15:35:39.733908,GW280111b
80,40,catO5_40.fits,2028-01-12 03:59:20.460322,GW280112a
2321,1160,catO5_1160.fits,2028-01-12 04:10:38.132122,GW280112b
2402,1201,catO5_1201.fits,2028-01-12 05:25:30.114325,GW280112c
4530,2265,catO5_2265.fits,2028-01-12 06:49:13.309247,GW280112d
4557,2278,catO5_2278.fits,2028-01-12 09:38:14.764536,GW280112e
3852,1926,catO5_1926.fits,2028-01-12 20:00:27.609234,GW280112f
2762,1381,catO5_1381.fits,2028-01-14 08:54:36.741660,GW280114a
2914,1457,catO5_1457.fits,2028-01-14 22:59:21.742973,GW280114b
3969,1984,catO5_1984.fits,2028-01-15 02:16:08.015702,GW280115a
468,234,catO5_234.fits,2028-01-15 02:31:11.619859,GW280115b
4274,2137,catO5_2137.fits,2028-01-15 07:36:08.625535,GW280115c
1602,801,catO5_801.fits,2028-01-15 09:25:59.505535,GW280115d
1333,666,catO5_666.fits,2028-01-16 02:08:46.569540,GW280116a
1555,777,catO5_777.fits,2028-01-16 08:02:23.460004,GW280116b
1100,550,catO5_550.fits,2028-01-16 20:39:40.076308,GW280116c
1559,779,catO5_779.fits,2028-01-17 04:21:50.377777,GW280117a
877,438,catO5_438.fits,2028-01-17 05:56:58.703768,GW280117b
360,180,catO5_180.fits,2028-01-17 20:05:05.800872,GW280117c
4132,2066,catO5_2066.fits,2028-01-18 02:30:51.059501,GW280118a
3552,1776,catO5_1776.fits,2028-01-19 10:33:58.087110,GW280119a
3003,1501,catO5_1501.fits,2028-01-19 16:01:34.086598,GW280119b
4420,2210,catO5_2210.fits,2028-01-19 23:12:34.913524,GW280119c
2961,1480,catO5_1480.fits,2028-01-21 15:10:40.213297,GW280121a
349,174,catO5_174.fits,2028-01-21 18:02:53.619220,GW280121b
2743,1371,catO5_1371.fits,2028-01-22 05:00:17.657646,GW280122a
729,364,catO5_364.fits,2028-01-23 10:39:00.927991,GW280123a
1862,931,catO5_931.fits,2028-01-23 20:39:25.634541,GW280123b
4157,2078,catO5_2078.fits,2028-01-25 11:01:36.585499,GW280125a
3281,1640,catO5_1640.fits,2028-01-26 18:46:32.726117,GW280126a
